Weapon name,Operative type,Operative index,FF,Range,A,WBS,D,CD,Crit,AP,Relentless,Ceaseless,Balanced,Brutal,NoCover,Hot,Blast,Fusilade,Torrent,Limited,Heavy,Unwieldy,Silent,Unload Slugs,Smart Targeting,Indirect,Barrage,Detonate,P,CritMW,Rending,Stun,Lashwhip,Reap,Splash
Coruscating Flames,Pink Horror Iricescent,113,True,,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fists,Pink Horror Iricescent,113,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fizzing Flames,Blue Horror,114,True,⬟,4,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fists,Blue Horror,114,False,,3,4,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fists,Brimstone Horror,115,False,,2,5,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Splinter Rifle,Kabalite Warrior,168,True,,4,3,2,4,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Array of Blades,Kabalite Warrior,168,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Blast Pistol,Sybarite,169,True,⬟,4,2,4,5,6,2,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Splinter Pistol,Sybarite,169,True,⬟,4,2,2,4,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Splinter Rifle,Sybarite,169,True,,4,2,2,4,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Agoniser,Sybarite,169,False,,4,2,3,6,5,0,False,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Array of Blades,Sybarite,169,False,,3,2,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Power Weapon,Sybarite,169,False,,4,2,4,5,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Blaster,Kabalite Gunner,170,True,,4,3,5,6,6,2,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shredder,Kabalite Gunner,170,True,,5,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Array of Blades,Kabalite Gunner,170,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Dark Lance,Kabalite Heavy Gunner,171,True,,4,3,6,7,6,2,False,False,False,False,False,False,,False,,False,True,True,False,False,False,False,False,False,0,0,False,False,False,False,False
Splinter Cannon,Kabalite Heavy Gunner,171,True,,5,3,3,4,5,0,False,False,False,False,False,False,,True,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Array of Blades,Kabalite Heavy Gunner,171,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Splinter Pistol,Wych Warrior,172,True,⬟,4,3,2,4,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hekatarii Blade,Wych Warrior,172,False,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Blast Pistol,Hekatrix,173,True,⬟,4,2,4,5,6,2,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Splinter Pistol,Hekatrix,173,True,⬟,4,2,2,4,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Agoniser,Hekatrix,173,False,,4,2,3,5,5,0,False,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hekatarii Blade,Hekatrix,173,False,,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Power Weapon,Hekatrix,173,False,,4,2,4,5,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Hydra Gauntlets,Wych Fighter,174,False,,5,3,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Razorflails,Wych Fighter,174,False,,5,3,3,4,6,0,False,True,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,1,False
Shardnet & Impaler,Wych Fighter,174,False,,4,3,4,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shuriken Catapult,Guardian Defender Warrior,77,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Guardian Defender Warrior,77,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shuriken Catapult,Guardian Defender Heavy Gunner,78,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Guardian Defender Heavy Gunner,78,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
AML - Aeldari Sunburst Missile,Guardian Defender Heavy Weapon Platform,79,True,,4,3,3,5,6,0,False,False,False,False,False,False,◯,False,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
AML - Aeldari Starshot Missile,Guardian Defender Heavy Weapon Platform,79,True,,4,3,5,7,6,1,False,False,False,False,False,False,,False,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Bright Lance,Guardian Defender Heavy Weapon Platform,79,True,⬟,4,3,6,7,6,2,False,False,False,False,False,False,,False,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Scatter Laser,Guardian Defender Heavy Weapon Platform,79,True,,5,3,4,5,6,0,False,True,False,False,False,False,,True,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shuriken Cannon,Guardian Defender Heavy Weapon Platform,79,True,,5,3,4,5,6,0,False,False,False,False,False,False,,True,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Starcannon,Guardian Defender Heavy Weapon Platform,79,True,,4,3,5,6,6,1,False,False,False,False,False,False,,False,,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shuriken Catapult,Guardian Defender Leader,80,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Guardian Defender Leader,80,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shuriken Pistol,Storm Guardian Warrior,81,True,⬟,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Storm Guardian Blades,Storm Guardian Warrior,81,False,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Flamer,Storm Guardian Gunner,82,True,⬟,5,2,2,2,6,0,False,False,False,False,False,False,,False,◯,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Fusion Gun,Storm Guardian Gunner,82,True,⬟,4,3,6,3,6,2,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,4,False,False,False,False,False
Fists,Storm Guardian Gunner,82,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Shuriken Pistol,Storm Guardian Leader,83,True,⬟,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Storm Guardian Blades,Storm Guardian Leader,83,False,,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Ranger Long Rifle,Ranger Warrior,84,True,,4,2,3,3,6,0,False,False,True,False,False,False,,False,,False,True,False,True,False,False,False,False,False,0,1,False,False,False,False,False
Shuriken Pistol,Ranger Warrior,84,True,⬟,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Ranger Warrior,84,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Ranger Long Rifle,Ranger Leader,85,True,,4,2,3,3,6,0,False,False,True,False,False,False,,False,,False,True,False,True,False,False,False,False,False,0,1,False,False,False,False,False
Shuriken Pistol,Ranger Leader,85,True,⬟,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Ranger Leader,85,False,,3,2,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Avenger Shuriken Catapult,Dire Avenger Warrior,86,True,,4,3,3,4,6,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Dire Avenger Warrior,86,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Avenger Shuriken Catapult,Dire Avenger Exarch,87,True,,4,2,3,4,6,0,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Shuriken Pistol,Dire Avenger Exarch,87,True,⬟,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Twin Avenger Shuriken Catapult,Dire Avenger Exarch,87,True,,4,2,3,4,6,0,True,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Diresword,Dire Avenger Exarch,87,False,,4,2,4,5,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Fists,Dire Avenger Exarch,87,False,,3,3,2,3,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Power Weapon,Dire Avenger Exarch,87,False,,4,2,4,6,5,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Boltgun,Plague Marine Warrior,88,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plague Knife,Plague Marine Warrior,88,False,,3,3,3,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Meltagun,Plague Marine Gunner,89,True,⬟,4,3,6,3,6,2,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,4,False,False,False,False,False
Plague Belcher,Plague Marine Gunner,89,True,⬟,5,2,2,3,6,0,False,False,False,False,False,False,,False,◯,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plasma Gun - Std,Plague Marine Gunner,89,True,,4,3,5,6,6,1,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plasma Gun - Super,Plague Marine Gunner,89,True,,4,3,5,6,6,2,False,False,False,False,False,True,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plague Knife,Plague Marine Gunner,89,False,,3,3,3,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Blight Launcher,Plague Marine Heavy Gunner,90,True,,4,3,4,6,6,1,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plague Spewer,Plague Marine Heavy Gunner,90,True,⬟,6,2,2,3,6,0,False,False,False,False,False,False,,False,◯,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plague Knife,Plague Marine Heavy Gunner,90,False,,3,3,3,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Bolt Pistol,Plague Marine Fighter,91,True,⬟,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Bubonic Axe,Plague Marine Fighter,91,False,,5,3,4,6,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Flail of Corruption,Plague Marine Fighter,91,False,⬟,5,3,4,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,2,False
Great Plague Cleaver,Plague Marine Fighter,91,False,,5,4,5,7,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,True,False,False,False,False
Mace of Contagion,Plague Marine Fighter,91,False,,5,3,4,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,True,False,False,False
Plague Knifes,Plague Marine Fighter,91,False,,3,3,3,5,6,0,True,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Boltgun,Plague Marine Icon Bearer,92,True,,4,3,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plague Knife,Plague Marine Icon Bearer,92,False,,3,3,3,5,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Boltgun,Plague Marine Champion,93,True,,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Bolt Pistol,Plague Marine Champion,93,True,⬟,4,2,3,4,6,0,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
Plasma Pistol - Std,Plague Marine Champion,93,True,⬟,4,2,5,6,6,1,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False
